case_number,location,state
2016.05.29.b,"Corona Del Mar, Newport, Orange County",CA
2016.05.29.a,"Neptune, Duval County",FL
2016.05.22,"Vero Beach, Indian River County",FL
2016.05.21.b,"St. Petersburg, Pinellas County",FL
2016.05.21.a,"Hugenot Beach , Jacksonville, Duval County",FL
2016.05.18,"Ponte Vedra, St. Johns County",FL
2016.05.15,"Boca Raton, Palm Beach County",FL
2016.05.03,"Wailea Beach, Maui",HI
2016.04.23,"New Smyrna Beach, Volusia County",FL
2016.04.13,"Off Singer Island, Palm Beach County",FL
2016.04.07.b,"Florida Keys, Monroe County",FL
2016.04.07.a,"Corners Beach, Jupiter, Palm Beach County",FL
2016.03.31,"Olowalu, Maui",HI
2016.03.28.b,"Fort Myers Beach, Lee County",FL
2016.03.13,"Bolsa Chica State Park, Orange County",CA
2016.03.11,"Vero Beach, St. Lucie County",FL
2016.03.04,"Ocean Reef Park, Singer Island, Palm Beach County",FL
2016.01.28,"Hanalei Bay, Kauai",HI
2016.01.25,"Hanalei Bay, Kauai, ",HI
2016.01.24.b,Off Surfside,TX
2016.01.23,"Wailea Beach, Maui",HI
2015.12.22,La'aloa Beach Park,HI
2015.11.16,"Playalinda Beach, Brevard County",FL
2015.11.15.b,"Palm Beach, Palm Beach County",FL
2015.11.15.a,"Ocean Reef Park, Singer Island, Palm Beach County",FL
2015.12.23,"Paradise Beach, Melbourne, Brevard County",FL
2015.11.03,"Kehena Beach, Hawaii",HI
2015.11.01.b,"Cocoa Beach, Brevard  County",FL
2015.10.28.a,"Malaka, Oahu",HI
2015.10.21,"Playalinda Beach, Brevard County",FL
2015.10.19,"Deerfield Beach, Broward County",FL
2015.10.17.b,"Waikiki, ",HI
2015.10.17.a,"Lanikai Beach, Kailua, Oahu",HI
2015.10.13,"Off Leffingwell Landing, San Luis Obispo County",CA
2015.10.09.b,"Shipyard Beach Club, Hilton Head Island, Beaufort County",SC
2015.10.09.a,"Leftovers, Oahu",HI
2015.10.05.b,"Pepper Park Beach, St. Lucie County",FL
2015.10.05.a,Galveston,TX
2015.10.04,"New Smyrna Beach, Volusia County",FL
2015.09.29,"Vilano Beach, St.  Johns County",FL
2015.09.24,"Horseshoe Rock, Santa Barbara County",CA
2015.09.20.d,"New Smyrna Beach, Volusia County",FL
2015.09.20.c,"Upolu Point, North Kohala, Big Island",HI
2015.09.20.b,"Fernandina Beach, Amelia Island, Nassau County",FL
2015.09.20.a,"Vilano Beach, St.  Johns County",FL
2015.09.19,"Gaviota State Beach, Santa Barbara County",CA
2015.09.18,"Big Talbot Island, Duval County",FL
2015.09.17,"Jacksonville Beach, Duval County",FL
2015.09.06,"El Pescador Beach, Los Angeles County",CA
2015.09.05,"Deer Creek Beach, Ventura County",CA
2015.09.03,"Myrtle Beach, Horry County",SC
2015.08.29.b,"Morro Strand State Beach, San Luis Obispo County",CA
2015.08.29.a,"Morro Bay, San Luis Obispo County",CA
2015.08.22.b,"Cocoa Beach, Brevard  County",FL
2015.08.20,"Murrells Inlet, Georgetown County",SC
2015.08.19,"Jacksonville Beach, Duval County",FL
2015.08.18.b,Santa Barbara County,CA
2015.08.10,Cortes Bank,CA
2015.07.26.b,"Daytona Beach, Volusia County",FL
2015.07.26.a,"Edisto Beach, Colleton County",SC
2015.07.23.b,"La Jolla, San Diego County",CA
2015.07-10,"Huntington Beach, Orange County",CA
2015.07.08,"Huntington Beach, Orange County",CA
2015.07.04.a,"Off Surf City, Pender County",NC
2015.07.01,"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",NC
