case_number,location,state
2008.09.09,"Ka'a'awa, Oahu",HI
2008.09.08,"Surf Beach, Lompoc, Santa Barbara County",CA
2008.09.06.b,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2008.09.06.a,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2008.09.01,"New Smyrna Beach, Volusia County",FL
2008.09.00,Hutchinson Island,FL
2008.08.30.b,"McKenzie Beach Park in Pahoa, Hawai'i ",HI
2008.08.28,"New Smyrna Beach, Volusia County",FL
2008.08.27,"New Smyrna Beach, Volusia County",FL
2008.08.24,"New Smyrna Beach, Volusia County",FL
2008.08.22,"Surf City, Topsail Island, Pender County",NC
2008.08.20,"Sanibel Island, Lee County",FL
2008.08.18,"North Myrtle Beach, Horry County",SC
2008.08.16,Buck Island,
2008.08.12,"New Smyrna Beach, Volusia County",FL
2008.08.11,"Ala Moana Beach Park, Oah'u",HI
2008.07.26.a,"Honokowai, Maui",HI
2008.07.25.b,"New Smyrna Beach, Volusia County",FL
2008.07.25.a,"Lahilahi Point, Oahu",HI
2008.07.24.b,"Surf City, Topsail Island, Pender County",NC
2008.07.24.a,"Topsail Island, Pender County",NC
2008.07.23,"New Smyrna Beach, Volusia County",FL
2008.07.19,"New Smyrna Beach, Volusia County",FL
2008.07.13,"Carolina Beach, New Hanover County",NC
2008.07.11,"Isle of Palms, Charleston County",SC
2008.07.09,"Emerald Isle, Carteret County",NC
2008.07.05,"Litchfield Beach, Georgetown County",SC
2008.06.28.c,"Kamilo Point, Hawai'i",HI
2008.06.26.b,"New Smyrna Beach, Volusia County",FL
2008.06.26.a,"Isle of Palms, Charleston County",SC
2008.06.21,"West Cove, Catalina Island",CA
2008.06.20,"Fernandina Beach, Nassau County",FL
2008.06.07,"Cocoa Beach, Brevard  County",FL
2008.06.01.b,Cherry Grove,SC
2008.05.26,"Hammocks Beach State Park, Bear Island, Onslow County",NC
2008.05.07.a,"New Smyrna Beach, Volusia County",FL
2008.04.28.a,"New Smyrna Beach, Volusia County",FL
2008.04.27,"New Smyrna Beach, Volusia County",FL
2008.04.26.a,"New Smyrna Beach, Volusia County",FL
2008.04.25,"Solana Beach, San Diego County",CA
2008.04.20.b,"New Smyrna Beach, Volusia County",FL
2008.04.15,"Playalinda Beach, Canaveral National Seashore, Brevard County",FL
2008.03.25,"Palm Beach Shores, Palm Beach County",FL
2008.04.08.R,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",FL
2008.04.03,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",FL
2008.03.28.b,"New Smyrna Beach / Ponce Inlet, Volusia County",FL
2008.03.28.a,"Near Cocoa Beach, Brevard  County",FL
2008.03.23,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",FL
2008.03.21,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",FL
2008.03.15,"Lovers Key State Park, Bonita Springs, Lee County",FL
2008.03.07," Huntington Beach, Orange County",CA
2008.02.15,"Ponce Inlet, Volusia County",FL
2008.02.06,"Opposite Patrick Air Force Base, Brevard County",FL
2008.01.10,"Playalinda Beach, Canaveral National Seashore, Brevard County",FL
2008.00.00.b,"Off Fort Pierce, St. Lucie County",FL
2007.12.10,"Waialua Bay, O'ahu",HI
2007.11.06,"New Smyrna Beach, Volusia County",FL
2007.11.04,"Round Island Park, Indian River County",FL
2007.10.29,"Wailea, Maui",HI
2007.10.07,"Venice Pier, Venice, Los Angeles County",CA
2007.10.06,"Playalinda Beach, Canaveral National Seashore, Brevard County",FL
2007.09.30.c,"Santa Monica, Los Angeles County",CA
2007.09.27.b,"Moonstone Beach, Humboldt County",CA
2007.09.22.b,Jupiter Inlet,FL
2007.09.22.a,Huguenot Park,FL
2007.09.20,"New Smyrna Beach, Volusia County",FL
2007.09.16.b,"New Smyrna Beach, Volusia County",FL
2007.09.16.a,"Flagler Beach, Flagler County",FL
2007.09.13,"Lauderdale-by-the-Sea, Broward County",FL
2007.09.08,"Pepper Park Beach, St. Lucie County",FL
2007.09.05,"Daytona Beach, Volusia County",FL
2007.09.04,Sullivan's Island,SC
2007.09.03.b,"Daytona Beach, Volusia County",FL
2007.09.03.a,"Fort Lauderdale, Broward County",FL
2007.08.28.b,"Ka'a'awa, Oahu",HI
2007.08.28.a,"Marina State Beach, Monterey County",CA
2007.08.26,"New Smyrna Beach, Volusia County",FL
2007.08.25,"New Smyrna Beach, Volusia County",FL
2007.08.22,North Carolina Aquarium at Fort Fisher,NC
2007.08.20,"Indian River Inlet, Rehoboth Beach",DE
2007.08.19.c,"Islamorada Founder's Park, Plantation Key, Monroe County",FL
2007.08.19.b,"New Smyrna Beach, Volusia County",FL
2007.08.19.a.,"Lakewood Campground, Grand Strand, Horry County",SC
2007.08.15,Sarasota Bay,FL
2007.08.12,"New Smyrna Beach, Volusia County",FL
2007.08.11,"Ponce Inlet,  New Smyrna Beach, Volusia County",FL
2007.08.09.b,"Isle of Palms, Charleston County",SC
2007.08.09.a,"Isle of Palms, Charleston County",SC
2007.08.07,"Islamorada, Monroe County",FL
2007.07.29,"Ponce Inlet, Volusia County",FL
2007.07.28,"Imperial Beach, San Diego County",CA
2007.07.22,"Malibu, Los Angeles County",CA
2007.07.21,"Bean Hollow State Beach, San Mateo County",CA
2007.07.19.b,"Bellows Beach near Wailea Point, O’ahu",HI
2007.07.18.b,"North Topsail Beach, Onslow  County",NC
2007.07.17.b,"Faria Beach, Ventura County",CA
2007.07.17.a,"Atlantic Beach, Carteret County",NC
2007.07.05,"Ponce Inlet, Volusia County",FL
2007.06.30.b,Marques Island,FL
2007.06.30.a,"Will Rogers State Beach, Los Angeles County",CA
2007.06.25,"New Smyrna Beach, Volusia County",FL
2007.06.24,"Silva's Channel, Mokuleia, O'ahu",HI
2007.06.17,"Vilano Beach, St.  Johns County",FL
2007.06.12,"Turtle Beach, Siesta Key, Sarasota County",FL
2007.05.26,Garden City,SC
2007.05.24,"Virginia Aquarium & Marine Science Center, Virginia Beach ",VA
2007.05.10,"New Smyrna Beach, Volusia County",FL
2007.05.07.b,"Keawakapu Beach, Maui",HI
2007.05.07.a,Naples,FL
2007.04.22,"Hutchinson Island, St. Lucie County",FL
2007.04.20,"New Smyrna Beach, Volusia County",FL
2007.04.13.R,"Florida Keys, Monroe County",FL
2007.04.01,"New Smyrna Beach, Volusia County",FL
2007.03.31.b,"Normandy Beach, Hutchinson Island,  St. Lucie County",FL
2007.03.31.a,"Waveland Beach, Hutchinson Island, St. Lucie County",FL
2007.03.21,Jupiter Inlet,FL
2007.03.14.R,Delray Beach,FL
2007.03.11,"Tiger Shores Beach, Martin County",FL
2007.01.25.a,100 miles off Ft. Myers Beach,FL
2007.01.07,"Smith Point, Long Island",NY
2007.01.05,"Majors Bay, Kaua'i",HI
2006.12.10,"Dillon Beach, Marin County",CA
2006.11.11,"Kihei, Maui",HI
2006.10.31,"Siletz River mouth, Lincoln County",OR
2006.10.16,Sebastian Inlet,FL
2006.10.10,"Daytona Beach, Volusia County",FL
2006.10.07,"Isla Blanca Park, South Padre Island",TX
2006.10.05,"New Smyrna Beach, Volusia County",FL
2006.09.29,"New Smyrna Beach, Volusia County",FL
2006.09.18.R,"Off Key Largo, Monroe County",FL
2006.09.16,Onslow Beach,NC
2006.09.14,"Singer Island, Riviera Beach",FL
2006.09.11,"New Smyrna Beach, Volusia County",FL
2006.09.03.a,"New Smyrna Beach, Volusia County",FL
2006.09.02,"New Smyrna Beach, Volusia County",FL
2006.08.29.b,"Florence, Lane County",OR
2006.08.00.b,"Masonboro Island, New Hanover County",NC
2006.07.31.R,"Newport Aquarium, Newport",KY
2006.07.31.a,Oswald State Park,OR
2006.07.29.b,"Broad Beach, Malibu, Los Angeles County",CA
2006.07.29.a,"Playalinda Beach, Canaveral National Seashore, Brevard County",FL
2006.07.25,"New Smyrna Beach, Volusia County",FL
2006.07.23,"Sargent Beach, Matagorda County",TX
2006.07.17,"Singleton Beach, Hilton Head Island, Beaufort County",SC
2006.07.12,"Kiawah Island, Charleston County",SC
2006.07.09.b,"New Smyrna Beach, Volusia County",FL
2006.07.09.a,"Ponte Vedra Beach, St Johns County",FL
2006.07.08.b,"Debordieu Beach, Georgetown County",SC
2006.07.08.a,"Playalinda Beach, Canaveral National Seashore, Brevard County",FL
2006.06.30.b,"Florida Keys, Monroe County",FL
2006.06.30.a,"Florida Keys, Monroe County",FL
2006.06.27,"Hutchinson Island, St. Lucie County",FL
2006.06.26,Fort Myers,FL
2006.06.20,"New Smyrna Beach, Volusia County",FL
2006.06.17,"Monterey, Monterey County",CA
2006.06.15,"New Smyrna Beach, Volusia County",FL
2006.06.07,"Coligny Beach, Hilton Head, Beaufort County",SC
2006.05.31,O'ahu,HI
2006.05.28,French Frigate Shoals,HI
2006.05.27,"North Shore, O'ahu",HI
2006.05.24,Lanai,HI
2006.05.19,Gun Beach,
2006.05.10,"Cocoa Beach, Brevard  County",FL
2006.05.04,"Hutchinson Island, St. Lucie County",FL
2006.04.23.R,"Alligator Reef off Islamorada, Monroe County",FL
2006.04.21,"Sebastian Inlet, Brevard County",FL
2006.04.19,"Daytona Beach, Volusia County",FL
2006.04.13,"Port of the Islands, Collier County",FL
2006.04.03,"Marco Island, Collier County",FL
2006.03.23,"Leftovers, near Waimea Bay, O'ahu",HI
2006.02.27,"Makena, Maui",HI
2006.02.23,"Makena, Maui",HI
2006.02.01.a,"Off Pu'u Ola'l, Makena, Maui",HI
2006.01.18,"Santa Cruz, Santa Cruz County",CA
2006.01.04,"Round Island Park, Indian River County",FL
2005.12.24,"Tillamook Head, Clatsop County",OR
2005.12.21,"Keawakapu Beach, Maui",HI
2005.11.29.R,"Cape San Blas, Gulf County",FL
2005.11.27,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2005.11.21,"Jensen Beach, Martin County ",FL
2005.11.20,"New Smyrna  Beach, Volusia County",FL
2005.11.12,"New Smyrna  Beach, Volusia County",FL
2005.11.02.b,"Mavericks, Half Moon Bay, San Mateo County",CA
2005.11.02.a,"Ocean Beach, San Francisco, San Francisco County",CA
2005.10.29,"Ponce de Leon Inlet, Volusia County ",FL
2005.10.21,"Klamath River mouth, Del Norte County",CA
2005.10.19,"Salmon Beach, Sonoma County",CA
2005.10.15,"Ponce Inlet, Volusia County",FL
2005.10.13,"Honokowai, Maui",HI
2005.10.06,"Ponce Inlet, Volusia County",FL
2005.09.22,"Tigertail Beach, Collier County",FL
2005.09.20,"Myrtle Beach, Horry County",SC
2005.09.11,Folly Beach,SC
2005.09.05,"North Topsail Beach, Onslow County",NC
2005.09.02.b,"Ponce Inlet, Volusia County",FL
2005.08.24.a,"Scripps, LaJolla, San Diego County",CA
2005.08.22,"6th Avenue North, Myrtle Beach, Horry County",SC
2005.08.21,"34th Avenue North, Myrtle Beach, Horry County",SC
2005.08.19,Crystal Beach (east of Galveston),TX
2005.08.12,"Carolina Beach off Texas Avenue, New Hanover County",NC
2005.08.06,"Isle of Palms, Charleston County",SC
2005.07.27,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",FL
2005.07.23,"Ormond Beach, Volusia County",FL
2005.07.22,"Quarter mile south of Ponce de Leon Inlet, Volusia County",FL
2005.07.15,"Holden Beach, Brunswick County",NC
2005.07.13,"Port Bolivar, Galveston County",TX
2005.07.01,"Boca Grande, Lee County",FL
2005.06.27,"Cape San Blas, Gulf County",FL
2005.06.25,"Destin, Walton County",FL
2005.06.18,Maui,HI
2005.06.16,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",FL
2005.06.07,"Kiawah Island, Charleston County",SC
2005.06.05,"Surf City, Long Beach Island, Ocean County",NJ
2005.06.02,"Mustang Island, Corpus Christi",TX
2005.05.28,Daytona Beach Shores,FL
2005.05.27,"Sand Key Beach, Clearwater, Pinellas County",FL
2005.05.14,"North Kihei, Maui",HI
2005.05.02.R,Off Sullivans Island,SC
2005.05.02,"Noreiga's, Maui",HI
2005.04.13,"Crescent Beach, Sarasota County",FL
2005.04.09,"Central Gulf Coast, St. John County",FL
2005.04.07,"Isla Blanca Park, South Padre Island, Cameron County",TX
2005.04.06,"Jacksonville Beach, Duval County",FL
2005.03.12,"Albuquerue Aquarium, Albuquerue",NM
2005.02.22,"Long Key, Monroe County",FL
2005.02.16,"Rocky Point, north shore of O'ahu",HI
2005.02.13,Fort Lauderdale,FL
2004.11.11.b,"Bunkers, Humboldt Bay, Eureka, Humboldt County",CA
2004.10.10,"Limantour Beach, Point Reyes National Seashore",CA
2004.10.09.b,Moloka'i,HI
2004.10.02,"Pismo Beach, San Luis Obispo County",CA
2004.10.01,"Lifeguard Tower 16, Huntington Beach, Orange County",CA
2004.09.20,Gold  Beach,OR
2004.09.10,South Padre Island,TX
2004.09.04,"North of Apache Pier, Myrtle Beach, Horry County",
2004.08.29,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",FL
2004.08.20,"204s, San Clemente, Orange County",CA
2004.08.15,"Kibesillah, Mendocino County",CA
2004.08.06,"Big Bayou, St. Petersburg, Pinellas County ",FL
2004.07.31,"Cocoa  Beach, Brevard County",FL
2004.07.28,"Rodanthe, Dare County",NC
2004.07.27.b,"Carolina Beach, New Hanover County",NC
2004.07.27.a,Galveston Island,TX
2004.07.25,"Bryan Beach, Brazoria County",TX
2004.07.02.a,"Gulf Shores Beach, Baldwin County",AL
2004.06.26.b,"San Onofre State Beach, San Diego County",CA
2004.06.14,"Disney / Vero Beach, Indian River County",FL
2004.06.10.a,"Daytona Beach Shores, Volusia County",FL
2004.05.29,"Pirate's Beach, Galveston Island",TX
2004.05.28,"Salmon Creek, Sonoma County",CA
2004.05.23.a,"St. Augustine, St. John's County",FL
2004.05.22.c,St. Augustine  St. Johns County,FL
2004.05.22.b,"Jacksonville Beach, Duval County",FL
2004.05.04,Channel between South Padre Island & Padre Island National Seashore,TX
2004.04.07,"Kahana Beach, Maui",HI
2004.04.04,Velzyland,HI
2004.03.31.b,"Ocean Reef Park, Singer Island, Palm Beach County",FL
2004.03.31.a,"Stuart Rocks, Martin County",FL
2004.03.28,"Pelican Beach Park, Satellite Beach, Brevard County",FL
2004.03.27.a,"Sanibel Island, Lee County",FL
2004.03.24,Punaluu,HI
2004.03.16,"Kalihiwai Beach, Kauai",HI
2003.12.26,"Miami, Dade County",FL
2003.12.13.b,"Melbourne Beach, Brevard County",FL
2003.11.22,"Daytona Beach, Volusia County",FL
2003.11.12.a,"South Jetty, New Smyrna Beach, Volusia County",FL
2003.10.31.c,"Ponte Vedra Beach, St. Johns County",FL
2003.10.31.a,"Tunnels surf break off Makua Beach, Kaua'i",HI
2003.10.27,"New Smyrna Beach, Volusia County",FL
2003.10.24,Honolua Bay,HI
2003.10.14,Near Patrick Air Force Base Brevard County,FL
2003.10.06,Palm Beach?,FL
2003.10.05.e,"Ocean Reef Park, Singer Island, Palm Beach County",FL
2003.10.05.d,"Stuart Park Beach, Martin County",FL
2003.10.05.c,"South Jetty, New Smyrna Beach, Volusia County",FL
2003.10.05.b,"Crawford Road beach approach at New Smyrna Beach, Volusia County",FL
2003.10.05.a,"Cove Beach / Kalama Beach, Kihei, Maui",HI
2003.09.28,"North Hutchinson Island, St. Lucie Couny",FL
2003.09.21,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2003.09.19,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2003.09.17,"New Smyrna Beach, Volusia County",FL
2003.09.14.c,"New Smyrna Beach, Volusia County",FL
2003.09.14.a,"Bathtub Reef Beach, Martin County",FL
2003.09.13.b,"Daytona Beach, Volusia County ",FL
2003.09.13.a,"Isle of Palms, Charleston County",SC
2003.09.00,"Boca Grande, Lee County",FL
2003.08.29,1.5 miles off Surfside ,TX
2003.08.19,"Avila Beach, San Luis Obispo County",CA
2003.08.12,"Venice Beach, Los Angeles County",CA
2003.07.20,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2003.07.15,"Daytona Beach, Volusia County",FL
2003.07.05.b,"Near New Smyrna Jetty, Volusia County",FL
2003.07.05.a,"Canova Beach, Brevard County",FL
2003.07.00.c,"Fort Lauderdale, Broward County",FL
2003.06.30,"New Smyrna Beach, Volusia County",FL
2003.06.26,St Augustine Beach. St. Johns County,FL
2003.06.24.b,"Cocoa Beach, Brevard County",FL
2003.06.24.a,"Makua Beach, Oahu",HI
2003.06.19,"Masonboro Island, New Hanover County",NC
2003.06.08,"Ponce Inlet, Volusia County",FL
2003.06.00,"Pawleys Island, Georgetown County",SC
2003.05.25,"Coral Cove Park, Jupiter Inlet, Palm Beach County",FL
2003.05.14,"Ponce de Leon Inlet, Volusia County ",FL
2003.05.10,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,HI
2003.05.07,"New Smyrna Beach, Volusia County",FL
2003.05.03,"Daytona Beach Shores, Volusia County",FL
2003.04.21.b,"Melbourne Beach, Brevard County ",FL
2003.04.21.a,"Shepard Park, Cocoa Beach, Brevard County ",FL
2003.04.20.c,"Playalinda Beach, Brevard County",FL
2003.04.20.b,"Sunglow Pier, Daytona Beach Shores, Volusia County",FL
2003.04.20.a,"New Smyrna Beach, Volusia County",FL
2003.04.19,"New Smyrna Beach, Volusia County  ",FL
2003.04.18,"North Beach, Patrick AFB, Brevard County",FL
2003.04.15,"Cocoa Beach, Brevard County",FL
2003.04.09,"Melbourne Beach, Brevard County",FL
2003.04.04,"New Smyrna Beach, Volusia County",FL
2003.03.10,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County",FL
2003.02.15.a,"Jupiter, Palm Beach County",FL
2002.11.28.a,"Salmon Creek, Sonoma County",CA
2002.11.17,Ka'anapali,HI
2002.11.11,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2002.11.02,"New Smyrna Beach, Volusia County",FL
2002.10.30,"Kama'ole Beach Park I, Kihei, Maui",HI
2002.10.11,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",FL
2002.10.05.b,"New Smyrna Beach, Volusia County",FL
2002.10.05.a,"New Smyrna Beach, Volusia County",FL
2002.10.03,"New Smyrna Beach, Volusia County",FL
2002.09.30,"Ormond Beach, Volusia County",FL
2002.09.29,"Sebastian Inlet, Brevard County",FL
2002.09.27.c,"Kahala, O'ahu",HI
2002.09.27.b,"Key Largo, Monroe County",FL
2002.09.21.b,Cape Kiwanda,OR
2002.09.21.a,"Moonstone Beach, Humboldt County",CA
2002.09.16.a,"Hideaways Beach, Princeville, Kaua'i",HI
2002.09.09,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2002.09.05,"Daytona Beach Shores, Volusia County",FL
2002.08.28,"Kewalo Basin Channel, O'ahu",HI
2002.08.17,"Gulf of Mexico, 65 miles offshore from Mobile",AL
2002.08.14,"New Smyrna Beach, Volusia County",FL
2002.08.11,"Vero Beach, Indian River County",FL
2002.08.07,"Ponce De Leon Inlet, Volusia County",FL
2002.08.05,"Topsail Beach, Pender County",NC
2002.07.26,"Myrtle Beach, Horry County",SC
2002.07.20,"Emerald Isle, Carteret County",NC
2002.07.10,"Ponce Inlet, New Smyrna Beach, Volusia County",FL
2002.07.09.b,"100 miles off Ocean City, Maryland, in 7000' of water",MD
2002.07.04,"Wrightsville Beach, New Hanover County",NC
2002.06.20.a,"New Smyrna Beach, Volusia County",FL
2002.06.11.b,"Anini Beach, Kaua'i",HI
2002.06.11.a,"St Augustine Beach, St Johns County",FL
2002.06.09.b,"South of Ponce Inlet, New Smyrna Beach, Volusia County",FL
2002.06.09.a,"Jensen Beach, Martin County ",FL
2002.05.31.b,"Stinson Beach, Marin County",CA
2002.05.31.a,"St. George Island (near Apachicola), Franklin County",FL
2002.05.22.b,"a pier at the end of Caxambas Drive, Marco Island ",FL
2002.05.22.a,"Atlantic Avenue, Palm Beach County",FL
2002.05.13,"Ten Thousand Islands National Wildlife Refuge, Collier County",FL
2002.04.20,"St. Augustine Beach, St. Johns County",FL
2002.04.18,"New Smyrna Beach, Volusia County",FL
2002.04.02,"New Smyrna Beach, Volusia County",FL
2002.04.01,"Lauderdale-By-The-Sea, Broward County",FL
2002.03.25.b,"Brenecke Beach, Po'ipu, Kaua'i",HI
2002.03.25.a,"Cocoa Beach, Brevard County",FL
2002.03.19,"Daytona Beach Shores, Volusia County",FL
2002.03.15.b,"Deerfield Beach (near Boca Raton), Broward County",FL
2002.03.15.a,"New Smyrna Beach, Volusia County",FL
2002.01.01.a,"Olowalu, Maui",HI
2001.11.14,"Kapalua, Maui",HI
2001.09.24,"Ponce Inlet, Volusia County",FL
2001.09.18,"New Smyrna Beach, Volusia County",FL
2001.09.16,"2 miles off Pompano Beach, Broward County",FL
2001.09.15.b,A quarter mile north of Fort Pierce Inlet,FL
2001.09.15.a,"North Topsail Beach, Onslow County",NC
2001.09.08,"Everglades National Park, Monroe County",FL
2001.09.07.b,"Key Biscayne, Dade County",FL
2001.09.07.a,"Waites Island, Horry County",SC
2001.09.03.b,"Avon, Hatteras Island, Outer Banks, Dare County",NC
2001.09.03.a,"Avon, Hatteras Island, Outer Banks, Dare County",NC
2001.09.02,"Mayport Naval Station, Jacksonville, Duval Country",FL
2001.09.01,"Sandbridge Beach, Princess Anne County",VA
2001.08.29,"Coquina Beach, Anna Maria Island, Manatee County",FL
2001.08.27,"New Smyrna Beach, Volusia County",FL
2001.08.26,"New Smyrna Beach, Volusia County",FL
2001.08.25,"New Smyrna Beach, Volusia County",FL
2001.08.22,"Daytona, Volusia County ",FL
2001.08.21,"New Smyrna Beach, Volusia County",FL
2001.08.19.c,"New Smyrna Beach, Volusia County",FL
2001.08.19.b,"New Smyrna Beach, Volusia County",FL
2001.08.19.a,"Wilbur-by-the-Sea, Volusia County",FL
2001.08.18.c,"New Smyrna Beach, Volusia County",FL
2001.08.18.b,"New Smyrna Beach, Volusia County",FL
2001.08.18.a,"New Smyrna Beach, Volusia County",FL
2001.08.05,"Near 70th Avenue, Myrtle Beach, Horry County",SC
2001.07.26,"Myrtle Beach, Horry County",SC
2001.07.25,"Taverniier, Monroe County",FL
2001.07.24,"Marathon , Monroe County",FL
2001.07.21,Chatham Island,MA
2001.07.15.b,"Santa Rosa Island, Escambia County",FL
2001.07.15.a,"Amelia Island, Nassau County",FL
2001.07.06.a,Gulf Islands National Seashore,FL
2001.07.03,"Isle of Palms, Charleston County ",SC
2001.07.00,"Jekyll Island, Glynn County",GA
2001.06.12,Padre Island National Seashore,TX
2001.06.10,Catalina Island,CA
2001.06.03,"Off 21st Avenue, Isle of Palms, Charleston County",SC
2001.05.29,Galveston Island,TX
2001.05.23 ,"Coligny Beach, Hilton Head, Beaufort County",SC
2001.05.20,"Fripp Island, Beaufort County",SC
2001.05.03,"Jacksonville, Duval County",FL
2001.04.28,"New Smyrna Beach, Volusia County",FL
2001.04.13.b,"New Smyrna Beach, Volusia County",FL
2001.04.13.a,"New Smyrna Beach, Volusia County",FL
2001.04.12.e,"Waveland Beach, Hutchinson Island, St Lucie County",FL
2001.04.12.d,"New Smyrna Beach, Volusia County",FL
2001.04.12.c,"New Smyrna Beach, Volusia County",FL
2001.04.12.b,"New Smyrna Beach, Volusia County",FL
2001.04.12.a,"New Smyrna Beach / Waveland, Volusia County",FL
2001.04.11.d,"New Smyrna Beach, Volusia County",FL
2001.04.11.c,"New Smyrna Beach / Waveland, Volusia County",FL
2001.04.11.a,"Ewa Beach, O'ahu",HI
2001.04.10,"New Smyrna Beach, Volusia County",FL
2001.04.05,"Bethune Beach, south of New Smyrna Beach, Volusia County",FL
2001.03.23,"Sandy Beach, Oahu",HI
2001.03.09,"Coral Cove Park, Jupiter Island, Martin County",FL
2001.01.09,"Sunset Cliffs, San Diego",CA
2000.11.18,"Bonita Springs, Lee County",FL
2000.11.10,"Vaughn Beach, Flagler County",FL
2000.11.04,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",CA
2000.10.20,"Fort Pierce Inlet State Park, St Lucie County",FL
2000.10.18,Olowalu,HI
2000.10.14,"South Beach, Sebastian, Indian River County",FL
2000.10.09,"Lake Worth Inlet/West Palm Beach, Palm Beach County",FL
2000.10.06.b,"New Smyrna Beach, Volusia County",FL
2000.10.06.a,"New Smyrna Beach, Volusia County",FL
2000.10.02,"Wrightsville Beach, New Hanover County",NC
2000.09.29,"Mavericks, Half Moon Bay, San Mateo County",CA
2000.09.16.a,"Isle of Palms, Charleston County",SC
2000.09.15,"Fort Pierce Inlet, St Lucie County",FL
2000.09.12,"Sebastian Inlet, Indian River or Brevard County",FL
2000.09.11,"Daytona Beach Shores, Volusia County",FL
2000.09.10.b,"Vero Beach, Indian River County",FL
2000.09.08.b,"New Smyrna Beach, Volusia County",FL
2000.08.31,"New Smyrna Beach, Volusia County",FL
2000.08.30,"Boca Ciega Bay, Tampa, Pinellas County",FL
2000.08.27.R,Prince William Sound,AK
2000.08.21,"Bouges Bank, Emerald Isle, Carteret County",NC
2000.08.15,"Kanaha Beach, Maui",HI
2000.08.13,"South Jacksonville Beach, Duval County",FL
2000.08.12,"St. Augustine, St. Johns County",FL
2000.08.11,"Emerald Isle, Carteret County",NC
2000.08.10,Florida Keys,FL
2000.07.25,"New Smyrna Beach, Volusia County",FL
2000.07.22,"Big Pine Key, Monroe County ",FL
2000.07.17,"Oceanic Pier, Wrightsville Beach, New Hanover County",NC
2000.07.16.b,"Holden Beach, Brunswick County",NC
2000.07.10,"Daytona  Beach, Volusia County",FL
2000.07.09,"Neptune Avenue, Ormond Beach, Volusia County",FL
2000.07.07,"Mustang Island, Corpus Christi",TX
2000.07.06,"Pine Island, Corolla, Currituck County",NC
2000.07.04.b,"Daytona Beach, Volusia County",FL
2000.07.04.a,"Artifical reef 3 miles off Manatee Beach, Manatee County",FL
2000.07.02.b,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",FL
2000.07.02.a,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",FL
2000.06.19,"Seminole Avenue, Ormond Beach, Volusia County",FL
2000.06.13,"Pensacola Bay, Escambia County",FL
2000.06.10,"J.P. Luby Surf Park, Corpus Christi",TX
2000.06.09.b,"Gulf Shores, Baldwin County",AL
2000.06.09.a,"Gulf Shores, Baldwin County",AL
2000.06.02,"27th Avenue, New Smyrna Beach, Volusia County",FL
2000.04.14,"On the south side of Ponce Inlet, Volusia County",FL
2000.04.09,"Municipal Beach, Riviera Beach, Palm Beach County",FL
2000.03.31,Santa Rosa Sound Escambia County,FL
2000.03.26,"Juno Beach, Palm Beach County",FL
2000.03.24,"Floridana Beach, Brevard County",FL
2000.03.00,Midnight Lump (38 miles offshore),LA
2000.02.21,"Riviera Beach, Palm Beach County",FL
2000.00.00,"Boca Grande, Lee County",FL
